ssignment,Organization Name,Organization Address
E043DB,"Shenzhen ViewAt Technology Co.,Ltd. ","9A,Microprofit,6th Gaoxin South Road, High-Tech Industrial Park, Nanshan, Shenzhen, CHINA. shenzhen guangdong CN 518057 "
2405F5,Integrated Device Technology (Malaysia) Sdn. Bhd.,"Phase 3, Bayan Lepas FIZ Bayan Lepas Penang MY 11900 "
3CD92B,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
9C8E99,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
B499BA,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
1CC1DE,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
3C3556,Cognitec Systems GmbH,Großenhainer Str. 101 Dresden Saxony DE 01127 
0050BA,D-Link Corporation,"2F, NO. 233L-2, PAO-CHIAO RD. TAIPEI  TW 0000 "
00179A,D-Link Corporation,"No. 289, Sinhu 3rd Rd., Neihu District, Taipei  TW 114 "
1CBDB9,D-Link International,"1 INTERNATIONAL  BUSINESS  PARK, SINGAPORE  SG 609917 "
9094E4,D-Link International,"1 International Business Park, #03-12, The Synergy  SINGAPORE  SG 609917 "
28107B,D-Link International,"1 International Business Park, #03-12, The Synergy  SINGAPORE  SG 609917 "
1C7EE5,D-Link International,"1 International Business Park, #03-12, The Synergy  SINGAPORE  SG 609917 "
C4A81D,D-Link International,"1 Internal Business Park, #03-12, SINGAPORE Singapore SG 609917 "
18622C,Sagemcom Broadband SAS,250 route de l'Empereur RUEIL MALMAISON CEDEX Hauts de Seine FR 92848 
7C03D8,Sagemcom Broadband SAS,250 route de l'Empereur RUEIL MALMAISON CEDEX Hauts de Seine FR 92848 
E8F1B0,Sagemcom Broadband SAS,250 route de l'Empereur RUEIL MALMAISON CEDEX Hauts de Seine FR 92848 
00F871,DGS Denmark A/S,Kongebakken 9 Smørum  DK 2765 
20BB76,COL GIOVANNI PAOLO SpA,Via F.lli Ceirano n. 20 Moncalieri TORINO IT 10024 
2C228B,CTR SRL,Via Lario 33 Cantù Cantù (CO) IT 22063 
348AAE,Sagemcom Broadband SAS,250 route de l'Empereur RUEIL MALMAISON CEDEX Hauts de Seine FR 92848 
BCEC23,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD","Unit A13-16/F,Skyworth Bldg., Gaoxin Ave.1.S.,Nanshan District,Shenzhen,China ShenZhen GuangDong CN 518057 "
8CE748,Private,
AC06C7,ServerNet S.r.l.,Località Padriciano 99 Trieste Trieste IT 34149 
CC46D6,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
48AD08,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
2CAB00,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
00E0FC,"HUAWEI TECHNOLOGIES CO.,LTD","KEFA ROAD, SCIENCE-BASED INDUSTRIAL PARK SHENZHEN 518057  CN 12345 "
24DF6A,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan Guangdong CN 523808  "
009ACD,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan Guangdong CN 523808  "
00CDFE,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
38F23E,Microsoft Mobile Oy,Keilalahdentie 4 Espoo  FI 02150 
58AC78,"Cisco Systems, Inc",80 West Tasman Dr. San Jose CA US 94568 
907F61,"Chicony Electronics Co., Ltd.","No.25, Wu-Gong 6th Rd., Wu Ku Industrial Park, New Taipei City,  TW 248 "
28BC18,SourcingOverseas Co. Ltd,"2F., No.616, Sec.5, Zhongshan N. Rd., Shilin Dist., Taipei City  TW 111 "
807ABF,HTC Corporation,"No. 23, Xinghua Rd., Taoyuan City Taoyuan County Taiwan TW 330 "
409F87,Jide Technology (Hong Kong) Limited,"jiahua Mansion 3F, 133 North 4th Ring Road East, Chaoyang District Beijing  CN 100101 "
3C5AB4,"Google, Inc.",1600 Amphitheatre Parkway Mountain View  US 94043 
001A11,"Google, Inc.",1600 Amphitheater Parkway Mountain View CA US 94043 
D83C69,Shenzhen TINNO Mobile Technology Corp.,"4/F.,H-3 Building,OCT Eastern lndustrial Park. NO.1 XiangShan East Road SHENZHEN GUANGDONG CN 518053 "
74AC5F,"Qiku Internet Network Scientific (Shenzhen) Co., Ltd.","Cyber Harbor, 2nd Mengxi Road, Hi-Tech Industrial Park (North), NanShan District ShenZhen GuangDong CN 518000 "
18AF61,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
BC83A7,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD","Unit A 13-16/F,Skyworth Bldg., Gaoxin Ave.1.S.,Nanshan District Shenzhen GuangDong  CN 518057 "
000347,Intel Corporation,M/S:  JF3-420 Hillsboro OR US 97124 
001175,Intel Corporation, 5200 NE ELAM YOUNG PARKWAY HIllsboro OR US 97124 
0013E8,Intel Corporate,"Lot 8, Jalan Hi-tech 2/3 Kulim Kedah MY 09000 "
001302,Intel Corporate,"Lot 8, Jalan Hi-tech 2/3 Kulim Kedah MY 09000 "
E4F89C,Intel Corporate,"Lot 8, Jalan Hi-Tech 2/3 Kulim Kedah MY 09000 "
A402B9,Intel Corporate,"Lot 8, Jalan Hi-Tech 2/3 Kulim Kedah MY 09000 "
4C3488,Intel Corporate,"Lot 8, Jalan Hi-Tech 2/3 Kulim Kedah MY 09000 "
000D0B,BUFFALO.INC,"MELCO HI-TECH CENTER, NAGOYA  JP 457-8520 "
000740,BUFFALO.INC,"AKAMONDORI Bldg., 30-20,Ohsu 3-chome Naka-ku,Nagoya Aichi Pref. JP 460-8315 "
0024A5,BUFFALO.INC,"AKAMONDORI Bldg., 30-20,Ohsu 3-chome Naka-ku,Nagoya Aichi Pref. JP 460-8315 "
DCFB02,BUFFALO.INC,"AKAMONDORI Bldg.,30-20,Ohsu 3-chome Naka-ku,Nagoya Aichi Pref JP 460-8315 "
F4CE46,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
001CC4,Hewlett Packard,20555 State Highway 249 Houston TX US 77070 
0025B3,Hewlett Packard,20555 State Highway 249 Houston TX US 77070 
001871,Hewlett Packard,20555 State Highway 249 Houston TX US 77070 
000BCD,Hewlett Packard,20555 State Highway 249 Houston TX US 77070 
000E7F,Hewlett Packard,20555 State Highway 249 Houston TX US 77070 
000F20,Hewlett Packard,20555 State Highway 249 Houston TX US 77070 
00110A,Hewlett Packard,20555 State Highway 249 Houston TX US 77070 
001321,Hewlett Packard,20555 State Highway 249 Houston TX US 77070 
001635,Hewlett Packard,20555 State Highway 249 Houston TX US 77070 
0017A4,Hewlett Packard,20555 State Highway 249 Houston TX US 77070 
000802,Hewlett Packard,20555 State Highway 249 Houston TX US 77070 
90E7C4,HTC Corporation,"No. 23, Xinghua Rd. Taoyuan County Taiwan TW 330 "
74A78E,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen guangdong CN 518057 "
D860B0,bioMérieux Italia S.p.A.,"Via di Campigliano, 58 Bagno a Ripoli Firenze IT 50012 "
8038BC,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
D440F0,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
64A651,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
E8CD2D,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate Shenzhen GuangDong CN 518057 "
ACE215,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park,  Shenzhen Guangdong CN 518057 "
EC233D,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park,  Shenzhen Guangdong CN 518057 "
78F5FD,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park,  Shenzhen Guangdong CN 518057 "
80B686,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District  Shenzhen Guangdong CN 518057 "
10C61F,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District  Shenzhen Guangdong CN 518057 "
8853D4,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District  Shenzhen Guangdong CN 518057 "
0C37DC,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District  Shenzhen Guangdong CN 518057 "
BC7670,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District, Shenzhen Guangdong CN 518108 "
24DBAC,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District, Shenzhen Guangdong CN 518108 "
0021E8,"Murata Manufacturing Co., Ltd.","2288, Oaza-Ohshinohara, Yasu-cho, Yasu-gun Shiga JP 520-2393 "
006057,"Murata Manufacturing Co., Ltd.",1-18-1 HAKUSAN MIDORI-KU YOKOHAMA  226  JP 12345 
0007D8,Hitron Technologies. Inc,135-220 Hitron B/D 726-5 Seoul  KR 13456 
84742A,zte corporation,"12/F.,zte R&D building,kejinan Road, shenzhen guangdong CN 518057 "
681AB2,zte corporation,"12/F.,zte R&D building,kejinan Road, shenzhen guangdong CN 518057 "
E005C5,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 7, Second Part, Honghualing Industrial Zone Shenzhen Guangdong CN 518000 "
A0F3C1,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park,Shennan Rd, Nanshan shenzhen guangdong Province CN 518057 "
